Depth,AC,DEN,CN,LLD,GR,Pp
3122.75,88.299,2.528,26.391,2.938,67.262,40.60634516
3122.875,88.814,2.527,26.217,2.962,65.995,41.10619805
3123,89.345,2.525,26.089,2.981,64.73,41.61100775
3123.125,89.781,2.524,26.185,2.988,63.871,42.01843092
3123.25,89.704,2.522,26.424,2.998,64.118,41.95137691
3123.375,89.438,2.516,26.764,3.011,65.515,41.70892594
3123.5,89.113,2.509,26.808,3.022,66.404,41.40838128
3123.625,88.723,2.505,26.654,3.064,66.756,41.04182829
3123.75,88.574,2.503,26.486,3.133,66.158,40.90260619
3123.875,88.635,2.503,26.328,3.176,64.961,40.96500525
3124,88.688,2.506,26.134,3.271,64.181,41.01959733
3124.125,88.5,2.509,25.84,3.356,63.495,40.84257459
3124.25,88.11,2.512,25.406,3.388,62.402,40.46700171
3124.375,87.859,2.516,24.733,3.431,61.207,40.22351756
3124.5,87.789,2.52,24.334,3.446,60.617,40.15789964
3124.625,88.287,2.523,24.315,3.482,60.257,40.6511964
3124.75,89.103,2.525,24.421,3.534,60.007,41.43647145
3124.875,89.481,2.528,24.654,3.565,59.944,41.79381988
3125,89.58,2.533,24.858,3.627,59.985,41.88930872
3125.125,89.218,2.536,24.98,3.667,60.064,41.55585263
3125.25,88.563,2.539,25.109,3.677,60.009,40.93717381
3125.375,88.087,2.542,25.301,3.691,59.745,40.47840813
3125.5,87.644,2.544,25.408,3.729,59.575,40.04379911
3125.625,87.068,2.544,25.389,3.759,59.545,39.46587152
3125.75,86.552,2.545,25.341,3.83,59.869,38.93700451
3125.875,86.255,2.545,25.286,3.869,60.186,38.62915536
3126,85.948,2.544,25.186,3.954,60.046,38.30685462
3126.125,85.402,2.543,25,4.051,59.591,37.72051299
3126.25,84.901,2.542,24.72,4.102,58.809,37.17109698
3126.375,84.656,2.541,24.285,4.203,58.575,36.90021474
3126.5,84.466,2.542,23.969,4.297,58.818,36.68909402
3126.625,84.124,2.543,23.816,4.334,59.172,36.30171301
