Depth,AC,nAC,Pv,DEN,CN,LLD,GR
2432.625,92.245,92.25821334,56.02335375,2.361,26.58,2.041,59.811
2432.75,92.021,92.25591268,56.0262325,2.356,25.873,2.054,57.554
2432.875,92.549,92.25361208,56.02911125,2.349,26.008,2.061,56.789
2433,92.832,92.25131153,56.03199,2.344,26.264,2.064,56.838
2433.125,93.131,92.24901105,56.03486875,2.34,26.863,2.067,57.25
2433.25,93.522,92.24671062,56.0377475,2.337,27.552,2.069,58.524
2433.375,93.984,92.24441024,56.04062625,2.34,28.061,2.073,60.054
2433.5,94.053,92.24210993,56.043505,2.346,28.491,2.091,61.833
2433.625,93.909,92.23980967,56.04638375,2.354,28.605,2.115,63.571
2433.75,93.186,92.23750946,56.0492625,2.37,28.445,2.151,64.921
2433.875,92.116,92.23520932,56.05214125,2.387,28.275,2.185,65.573
2434,91.901,92.23290923,56.05502,2.399,28.215,2.224,66.189
2434.125,92.015,92.2306092,56.05789875,2.412,28.797,2.266,66.98
2434.25,92.924,92.22830923,56.0607775,2.431,30.378,2.308,68.088
2434.375,94.084,92.22600932,56.06365625,2.445,32.058,2.337,69.05
2434.5,93.948,92.22370946,56.066535,2.447,33.411,2.361,69.786
2434.625,93.307,92.22140966,56.06941375,2.44,33.392,2.385,70.309
2434.75,91.407,92.21910992,56.0722925,2.415,32.493,2.407,70.205
2434.875,89.014,92.21681023,56.07517125,2.382,31.602,2.424,69.658
2435,87.915,92.2145106,56.07805,2.361,30.827,2.452,68.902
2435.125,86.989,92.21221103,56.08092875,2.343,30.242,2.489,68.206
2435.25,86.402,92.20991152,56.0838075,2.329,29.316,2.541,67.736
2435.375,85.823,92.20761206,56.08668625,2.325,27.745,2.585,67.411
2435.5,84.444,92.20531267,56.089565,2.328,25.948,2.619,65.925
