Depth,AC,DEN,Ip,Pp
3313.75,96.362,2.552,8072.161225,52.91132683
3313.875,96.799,2.551,8032.570584,53.21475886
3314,97.022,2.546,7998.400363,53.36956252
3314.125,96.783,2.541,8002.405381,53.2111674
3314.25,96.46,2.54,8026.041883,52.99359195
3314.375,96.066,2.54,8058.959465,52.72386524
3314.5,95.423,2.541,8116.458296,52.27286191
3314.625,94.849,2.543,8172.003922,51.86151339
3314.75,94.59,2.543,8194.379956,51.67504168
3314.875,94.503,2.542,8198.698454,51.61444762
3315,94.867,2.538,8154.388776,51.88571319
3315.125,95.67,2.532,8066.829727,52.46712946
3315.25,96.308,2.528,8000.730988,52.91785418
3315.375,96.874,2.525,7944.546524,53.3095203
3315.5,97.449,2.523,7891.41397,53.69929589
3315.625,97.591,2.524,7883.05479,53.79706634
3315.75,97.313,2.527,7914.971278,53.61597277
3315.875,96.83,2.529,7960.747702,53.29424097
3316,96.033,2.533,8039.511418,52.74841303
3316.125,95.486,2.535,8091.950652,52.36563123
3316.25,95.409,2.535,8098.481275,52.31428282
3316.375,95.486,2.534,8088.758561,52.37297738
3316.5,95.628,2.532,8070.372694,52.4777074
3316.625,95.58,2.53,8068.047709,52.44727758
3316.75,95.474,2.528,8070.620274,52.37543305
3316.875,95.473,2.527,8067.512281,52.37839264
3317,95.795,2.527,8040.394593,52.610557
3317.125,96.292,2.529,8005.225772,52.96165568
3317.25,96.515,2.532,7996.203699,53.1191705
3317.375,96.503,2.536,8009.831819,53.11457863
3317.5,95.903,2.54,8072.656747,52.70125711
3317.625,94.834,2.541,8166.868423,51.93898157
3317.75,94.165,2.54,8221.653481,51.44775694
3317.875,93.979,2.541,8241.168772,51.31166261
3318,95.211,2.542,8137.731985,52.22357628
3318.125,97.743,2.545,7936.281882,53.96999758
3318.25,99.433,2.546,7804.459284,55.05166607
3318.375,100.317,2.547,7738.724244,55.59405419
3318.5,99.788,2.546,7776.694593,55.27725126
3318.625,98.542,2.543,7865.746585,54.50224042
3318.75,98.024,2.541,7901.09361,54.17192467
3318.875,97.841,2.538,7906.525894,54.05610159
3319,97.302,2.535,7940.926189,53.70332646
3319.125,95.922,2.533,8048.814662,52.76225729
3319.25,94.643,2.534,8160.806399,51.84687984
3319.375,93.614,2.534,8250.509539,51.07899934
3319.5,93.264,2.533,8278.203809,50.81345314
3319.625,93.957,2.527,8197.681918,51.34688083
3319.75,94.638,2.522,8122.589235,51.85795667
3319.875,95.186,2.516,8056.613368,52.2607372
3320,95.518,2.512,8015.846228,52.50230998
3320.125,95.433,2.512,8022.98576,52.44535388
3320.25,95.251,2.514,8044.715541,52.31857624
3320.375,95.091,2.515,8061.45692,52.20685089
3320.5,94.649,2.516,8102.323321,51.88817983
3320.625,93.672,2.514,8180.322829,51.16034766
3320.75,92.905,2.512,8241.295947,50.57079096
3320.875,92.54,2.509,8263.920467,50.28612928
3321,93.468,2.502,8159.044807,51.0153467
3321.125,95.694,2.494,7943.770769,52.6602845
3321.25,97.44,2.488,7782.660099,53.86076521
3321.375,98.82,2.484,7661.639344,54.75854892
3321.5,99.537,2.485,7609.512041,55.20971573
3321.625,99.061,2.492,7667.614904,54.91747935
